job_title,job_date,job_views
['北京长亭未来科技有限公司2023届校招岗位发布'],['2022-12-21 17:09'],['98']
['吉首大学张家界学院2023年教师招聘公告'],['2022-12-21 14:40'],['55']
['徐州工程学院人才引进政策及计划'],['2022-12-21 13:36'],['58']
['南京晓庄学院2022年公开招聘人才公告'],['2022-12-21 11:51'],['55']
['先临三维科技股份有限公司2023校园招聘'],['2022-12-21 10:12'],['85']
['青岛理工大学临沂校区2022年诚聘海内外英才（长期招聘）'],['2022-12-21 10:07'],['57']
['三旺通信集团23届储备干事校园招聘'],['2022-12-21 09:51'],['109']
['新疆农村信用社2023年实习生招聘公告'],['2022-12-20 19:48'],['62']
['“人才来临，沂定能赢” 临沂市2022年冬季青年人才线上招聘会正式上线'],['2022-12-20 19:45'],['53']
['中博会高层次人才洽谈会 （2023年度）春季线下巡回招聘会 ——西安电子科技大学硕博专场'],['2022-12-20 16:52'],['61']
['中共深圳市南山区委组织部'],['2022-12-20 15:57'],['87']
['山东众阳健康科技集团有限公司2023届校招简章'],['2022-12-20 15:40'],['67']
['北京高博中进信息技术有限公司邯郸学院2022年公开选聘博士研究生'],['2022-12-20 11:27'],['51']
['四川元景达食品有限公司 2023全国专场校园招聘简章'],['2022-12-20 11:05'],['56']
['萍乡学院2023年博士人才引进公告'],['2022-12-20 10:06'],['52']
['河北高速公路集团有限公司2023届校园招聘'],['2022-12-20 10:06'],['66']
['【上市公司】四川英杰电气股份有限公司校园招聘公告'],['2022-12-20 09:36'],['50']
['招商银行股份有限公司泉州分行'],['2022-12-19 21:18'],['103']
['西华大学2022年人才招聘公告'],['2022-12-19 19:53'],['58']
['北京逐风科技有限公司'],['2022-12-19 17:21'],['184']
['国防科技大学信息通信学院人才引进招聘公告'],['2022-12-19 16:45'],['129']
['2023校园招聘-江淮汽车直属（安徽江汽物流有限公司）'],['2022-12-19 15:40'],['153']
['2023年潍坊市“才聚鸢都——博士潍坊行”暨潍坊学院第六届博士“鸢都行”活动'],['2022-12-19 15:31'],['48']
['公众保2023联合校招'],['2022-12-19 14:29'],['154']
['井冈山大学2022年公开选聘部分学院（部）院长（常务副主任）'],['2022-12-19 12:03'],['95']
['秦皇岛烟草机械有限责任公司2023年招聘 财务类/管理类/计算机类/机械设计工程类/电气自动化类等'],['2022-12-19 11:07'],['149']
['三明学院2022年人才招聘启事'],['2022-12-19 10:43'],['91']
['南京信息职业技术学院2022年诚聘英才'],['2022-12-18 20:34'],['92']
['桂林电子科技大学2022年人才招聘启事'],['2022-12-18 19:59'],['108']
